word,count
data,19
government,18
geospatial,16
analysis,15
improve,7
people,7
more,5
access,4
different,4
public,4
believe,3
example,3
future,3
gis,3
help,3
information,3
maps,3
metadata,3
updated,3
way,3
accuracy,2
available,2
based,2
boundaries,2
build,2
canadian,2
communication,2
constituents,2
databases,2
decisions,2
download,2
educating,2
everyone,2
excellent,2
free,2
given,2
idea,2
improvements,2
improving,2
integration,2
interface,2
knowledge,2
lack,2
last,2
layers,2
levels,2
majority,2
making,2
media,2
models,2
new,2
open,2
or,2
our,2
out,2
play,2
power,2
professional,2
providing,2
published,2
regards,2
scientific,2
short,2
social,2
stand,2
start,2
students,2
support,2
technologies,2
there,2
they,2
time,2
understand,2
understanding,2
up,2
users,2
various,2
was,2
we,2
well,2
worked,2
youtube,2
able,1
accessible,1
accurate,1
addiction,1
advantage,1
agree,1
aka,1
alienate,1
allow,1
already,1
always,1
analysts,1
answer,1
answering,1
apparent,1
apps,1
arcgis,1
assessment,1
attributes,1
background,1
base,1
basic,1
became,1
becoming,1
being,1
benefit,1
best,1
better,1
between,1
branches,1
capacities,1
career,1
catalogues,1
check,1
children,1
citizen,1
clear,1
clearly,1
clips,1
collaboration,1
combining,1
come,1
common,1
communicate,1
completely,1
comprehend,1
comprehension,1
computational,1
conference,1
confusing,1
consuming,1
controlled,1
cost,1
creating,1
curriculum,1
data's,1
database,1
dataset's,1
date,1
deceiver,1
definitely,1
demographic,1
deployed,1
descriptive,1
digestible,1
direction,1
disaster,1
discussed,1
do,1
doing,1
dopamine,1
downloaded,1
drive,1
drives,1
easier,1
easily,1
easy,1
educational,1
elements,1
end,1
entities,1
environment,1
esri,1
eventually,1
examples,1
exists,1
experience,1
expose,1
external,1
externally,1
factors,1
fantastic,1
far,1
federal,1
filed,1
finding,1
found,1
full,1
generation,1
go,1
graphic,1
great,1
gurdeep,1
having,1
high,1
highschool,1
hinder,1
however,1
i.e,1
identifying,1
if,1
images,1
important,1
improvement,1
increase,1
increasing,1
indexed,1
induced,1
informative,1
informed,1
inherently,1
integrating,1
interactivity,1
internally,1
itself,1
just,1
lands,1
learn,1
learned,1
learning,1
lends,1
like,1
likely,1
limited,1
location,1
lot,1
made,1
management,1
matter,1
missing,1
mistrust,1
morphing,1
movies,1
moving,1
much,1
municipal,1
must,1
national,1
novelty,1
often,1
one,1
online,1
opportunities,1
options,1
order,1
organization,1
other,1
outputs,1
past,1
platforms,1
policy,1
portal,1
portals,1
possible,1
problem,1
processing,1
products,1
program,1
programming,1
project,1
projections,1
provide,1
provided,1
provides,1
provincial,1
put,1
quality,1
question,1
quickly,1
real,1
realm,1
recognize,1
regularly,1
related,1
relative,1
relevant,1
research,1
researchers,1
response,1
results,1
right,1
room,1
said,1
same,1
scale,1
scenarios,1
school,1
scientists,1
see,1
seems,1
set,1
sets,1
sharing,1
show,1
singh,1
single,1
slowly,1
solve,1
someone,1
speed,1
starting,1
static,1
storage,1
strides,1
struggle,1
student,1
subsidize,1
succumb,1
such,1
suggested,1
surprised,1
switch,1
symbology,1
taking,1
them,1
those,1
through,1
tool,1
towards,1
transitioning,1
transparent,1
trust,1
unaware,1
us,1
useful,1
user,1
utilizing,1
vast,1
web,1
websites,1
went,1
while,1
who,1
wildfire,1
willing,1
within,1
works,1
world,1
